step,phi,danger,altitude,wind_norm,pe
491,0.099488,0.8789,15.2657,0.6934,0.0000
492,0.099291,0.8966,15.2465,0.7110,0.0000
493,0.099193,0.9113,15.2272,0.7255,0.0000
494,0.099124,0.9228,15.2078,0.7368,0.0025
495,0.099053,0.9308,15.1884,0.7447,0.0000
496,0.099003,0.9353,15.1690,0.7491,0.0000
497,0.098948,0.9362,15.1495,0.7499,0.0000
498,0.098901,0.9336,15.1300,0.7471,0.0000
499,0.098928,0.9274,15.1104,0.7407,0.0000
500,0.098713,0.9177,15.0909,0.7309,0.0000
501,0.098818,0.9047,15.0712,0.7177,0.0000
502,0.099055,0.8886,15.0516,0.7015,0.0000
503,0.099357,0.8695,15.0319,0.6823,0.0000
504,0.099619,0.8479,15.0121,0.6605,0.0000
505,0.099801,0.8239,14.9923,0.6364,0.0000
506,0.099965,0.7980,14.9725,0.6103,0.0000
507,0.100135,0.7705,14.9526,0.5827,0.0000
508,0.100305,0.7418,14.9327,0.5538,0.0000
509,0.100471,0.7124,14.9128,0.5242,0.0000
510,0.100630,0.6826,14.8928,0.4943,0.0000
511,0.100777,0.6528,14.8728,0.4644,0.0000
512,0.100912,0.6236,14.8528,0.4350,0.0000
513,0.101034,0.5953,14.8327,0.4066,0.0000
