step,phi,danger,speed,slip,friction,pe
397,0.100131,0.7200,4.1581,1.0000,0.3500,0.0000
398,0.100136,0.7200,4.1685,1.0000,0.3500,0.0000
399,0.100139,0.7200,4.1790,1.0000,0.3500,0.0000
400,0.100141,0.7200,4.1894,1.0000,0.3500,0.0000
401,0.100121,0.7200,4.1998,1.0000,0.3500,0.0000
402,0.100261,0.7200,4.2103,1.0000,0.3500,0.0000
403,0.100078,0.7200,4.2207,1.0000,0.3500,0.0000
404,0.100087,0.7200,4.2311,1.0000,0.3500,0.0001
405,0.100105,0.7200,4.2416,1.0000,0.3500,0.0000
406,0.100116,0.7200,4.2520,1.0000,0.3500,0.0000
407,0.100124,0.7200,4.2624,1.0000,0.3500,0.0000
408,0.100130,0.7200,4.2729,1.0000,0.3500,0.0000
409,0.100135,0.7200,4.2833,1.0000,0.3500,0.0000
410,0.100138,0.7200,4.2937,1.0000,0.3500,0.0000
411,0.100140,0.7200,4.3042,1.0000,0.3500,0.0001
412,0.100142,0.7200,4.3146,1.0000,0.3500,0.0000
413,0.100121,0.7200,4.3250,1.0000,0.3500,0.0000
414,0.100256,0.7200,4.3354,1.0000,0.3500,0.0000
415,0.100078,0.7200,4.3459,1.0000,0.3500,0.0000
416,0.100087,0.7200,4.3563,1.0000,0.3500,0.0000
417,0.100104,0.7200,4.3667,1.0000,0.3500,0.0000
418,0.100116,0.7200,4.3772,1.0000,0.3500,0.0001
419,0.100124,0.7200,4.3876,1.0000,0.3500,0.0000
420,0.100130,0.7200,4.3980,1.0000,0.3500,0.0000
421,0.100134,0.7200,4.4084,1.0000,0.3500,0.0000
422,0.100137,0.7200,4.4189,1.0000,0.3500,0.0000
423,0.100139,0.7200,4.4293,1.0000,0.3500,0.0000
424,0.100118,0.7200,4.4397,1.0000,0.3500,0.0000
425,0.100253,0.7200,4.4501,1.0000,0.3500,0.0000
426,0.100078,0.7200,4.4606,1.0000,0.3500,0.0000
427,0.100087,0.7200,4.4710,1.0000,0.3500,0.0000
428,0.100103,0.7200,4.4814,1.0000,0.3500,0.0000
429,0.100115,0.7200,4.4918,1.0000,0.3500,0.0001
430,0.100123,0.7200,4.5023,1.0000,0.3500,0.0000
431,0.100128,0.7200,4.5127,1.0000,0.3500,0.0000
432,0.100133,0.7200,4.5231,1.0000,0.3500,0.0000
433,0.100136,0.7200,4.5335,1.0000,0.3500,0.0000
