step,phi,danger,depth,current_norm,chemical,pe
292,0.130960,0.0550,9.9980,0.0500,0.1000,0.0000
293,0.130955,0.0565,9.9980,0.0530,0.1000,0.0000
294,0.130950,0.0581,9.9980,0.0561,0.1000,0.0000
295,0.130945,0.0597,9.9980,0.0593,0.1000,0.0000
296,0.130940,0.0613,9.9980,0.0626,0.1000,0.0000
297,0.130934,0.0630,9.9980,0.0659,0.1000,0.0000
298,0.130928,0.0647,9.9979,0.0693,0.1000,0.0000
299,0.130922,0.0664,9.9979,0.0728,0.1000,0.0000
300,0.130915,0.0682,9.9979,0.0764,0.1000,0.0000
301,0.130908,0.0700,9.9979,0.0800,0.1000,0.0000
302,0.130900,0.0719,9.9979,0.0837,0.1000,0.0000
303,0.130893,0.0737,9.9979,0.0875,0.1000,0.0000
304,0.130885,0.0757,9.9979,0.0913,0.1000,0.0000
305,0.130876,0.0776,9.9979,0.0952,0.1000,0.0000
306,0.130868,0.0796,9.9978,0.0992,0.1000,0.0000
307,0.130859,0.0816,9.9978,0.1033,0.1000,0.0000
308,0.130850,0.0837,9.9978,0.1074,0.1000,0.0000
309,0.130840,0.0858,9.9978,0.1116,0.1000,0.0000
310,0.130830,0.0879,9.9978,0.1158,0.1000,0.0000
311,0.130820,0.0900,9.9978,0.1201,0.1000,0.0000
312,0.130809,0.0922,9.9978,0.1244,0.1000,0.0000
313,0.130798,0.0944,9.9978,0.1288,0.1000,0.0000
314,0.130787,0.0966,9.9977,0.1333,0.1000,0.0000
315,0.130775,0.0989,9.9977,0.1378,0.1000,0.0000
316,0.130763,0.1012,9.9977,0.1424,0.1000,0.0000
317,0.130751,0.1035,9.9977,0.1470,0.1000,0.0000
318,0.130738,0.1058,9.9977,0.1517,0.1000,0.0000
319,0.130725,0.1082,9.9977,0.1564,0.1000,0.0000
320,0.130712,0.1106,9.9977,0.1612,0.1000,0.0000
321,0.130698,0.1130,9.9976,0.1660,0.1000,0.0000
322,0.130684,0.1154,9.9976,0.1708,0.1000,0.0000
323,0.130670,0.1179,9.9976,0.1757,0.1000,0.0000
324,0.130655,0.1203,9.9976,0.1806,0.1000,0.0000
325,0.130640,0.1228,9.9976,0.1856,0.1000,0.0000
326,0.130625,0.1253,9.9976,0.1906,0.1000,0.0000
327,0.130610,0.1278,9.9976,0.1957,0.1000,0.0000
328,0.130594,0.1304,9.9975,0.2008,0.1000,0.0000
329,0.130578,0.1329,9.9975,0.2059,0.1000,0.0000
330,0.130562,0.1355,9.9975,0.2110,0.1000,0.0000
331,0.130546,0.1381,9.9975,0.2162,0.1000,0.0000
332,0.130529,0.1407,9.9975,0.2214,0.1000,0.0000
333,0.130512,0.1433,9.9975,0.2266,0.1000,0.0000
334,0.130495,0.1459,9.9975,0.2318,0.1000,0.0000
335,0.130477,0.1486,9.9974,0.2371,0.1000,0.0000
336,0.130460,0.1512,9.9974,0.2424,0.1000,0.0000
337,0.130442,0.1539,9.9974,0.2477,0.1000,0.0000
338,0.130424,0.1565,9.9974,0.2530,0.1000,0.0000
339,0.130406,0.1592,9.9974,0.2584,0.1000,0.0000
340,0.130388,0.1619,9.9974,0.2637,0.1000,0.0000
341,0.130370,0.1645,9.9974,0.2691,0.1000,0.0000
342,0.130351,0.1672,9.9973,0.2745,0.1000,0.0000
343,0.130333,0.1699,9.9973,0.2799,0.1000,0.0000
344,0.130314,0.1726,9.9973,0.2853,0.1000,0.0000
345,0.130295,0.1753,9.9973,0.2906,0.1000,0.0000
346,0.130277,0.1780,9.9973,0.2960,0.1000,0.0000
347,0.130258,0.1807,9.9973,0.3014,0.1000,0.0000
348,0.130239,0.1834,9.9973,0.3068,0.1000,0.0000
349,0.130220,0.1861,9.9972,0.3122,0.1000,0.0004
350,0.130203,0.1888,9.9972,0.3176,0.1000,0.0000
351,0.130746,0.4015,9.9972,0.3230,0.8000,0.0000
352,0.130132,0.4042,9.9972,0.3284,0.8000,0.0000
353,0.129726,0.4069,9.9972,0.3338,0.8000,0.0000
354,0.129463,0.4096,9.9972,0.3391,0.8000,0.0000
355,0.129304,0.4122,9.9972,0.3445,0.8000,0.0000
356,0.129212,0.4149,9.9971,0.3498,0.8000,0.0000
357,0.129144,0.4176,9.9971,0.3551,0.8000,0.0000
358,0.129089,0.4202,9.9971,0.3604,0.8000,0.0000
359,0.129045,0.4229,9.9971,0.3657,0.8000,0.0000
360,0.129009,0.4255,9.9971,0.3710,0.8000,0.0000
361,0.128979,0.4281,9.9971,0.3762,0.8000,0.0000
362,0.128954,0.4307,9.9971,0.3814,0.8000,0.0000
363,0.128932,0.4333,9.9970,0.3866,0.8000,0.0000
364,0.128913,0.4359,9.9970,0.3918,0.8000,0.0000
365,0.128895,0.4384,9.9970,0.3969,0.8000,0.0000
366,0.128879,0.4410,9.9970,0.4020,0.8000,0.0000
367,0.128863,0.4435,9.9970,0.4070,0.8000,0.0000
368,0.128847,0.4460,9.9970,0.4121,0.8000,0.0000
369,0.128832,0.4485,9.9970,0.4171,0.8000,0.0000
370,0.128817,0.4510,9.9969,0.4220,0.8000,0.0000
371,0.128802,0.4535,9.9969,0.4269,0.8000,0.0000
372,0.128787,0.4559,9.9969,0.4318,0.8000,0.0000
373,0.128773,0.4583,9.9969,0.4366,0.8000,0.0000
374,0.128759,0.4607,9.9969,0.4414,0.8000,0.0000
375,0.128745,0.4631,9.9969,0.4461,0.8000,0.0000
376,0.128731,0.4654,9.9968,0.4508,0.8000,0.0000
377,0.128718,0.4677,9.9968,0.4555,0.8000,0.0000
378,0.128705,0.4700,9.9968,0.4601,0.8000,0.0000
379,0.128692,0.4723,9.9968,0.4646,0.8000,0.0000
380,0.128679,0.4745,9.9968,0.4691,0.8000,0.0000
381,0.128666,0.4768,9.9968,0.4735,0.8000,0.0000
382,0.128654,0.4790,9.9968,0.4779,0.8000,0.0000
383,0.128641,0.4811,9.9967,0.4822,0.8000,0.0000
384,0.128629,0.4832,9.9967,0.4865,0.8000,0.0000
385,0.128617,0.4853,9.9967,0.4907,0.8000,0.0000
386,0.128606,0.4874,9.9967,0.4948,0.8000,0.0000
387,0.128594,0.4894,9.9967,0.4989,0.8000,0.0000
388,0.128583,0.4915,9.9967,0.5029,0.8000,0.0000
389,0.128571,0.4934,9.9966,0.5069,0.8000,0.0000
390,0.128560,0.4954,9.9966,0.5107,0.8000,0.0000
391,0.128549,0.4973,9.9966,0.5145,0.8000,0.0000
392,0.128539,0.4991,9.9966,0.5183,0.8000,0.0000
393,0.127398,0.5010,9.9966,0.5219,0.8000,0.0000
394,0.126262,0.5028,9.9966,0.5255,0.8000,0.0000
395,0.125129,0.5045,9.9965,0.5291,0.8000,0.0000
396,0.123998,0.5063,9.9965,0.5325,0.8000,0.0000
397,0.122870,0.5079,9.9965,0.5359,0.8000,0.0000
